"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","82.5683","201209","27","16,700","6","2012","영랑로1길 26",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201201","8","12,800","12","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201202","16","12,900","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201203","8","11,000","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201208","21","13,500","4","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","117.222","201211","8","20,000","12","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201203","6","6,650","9","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201204","9","6,400","2","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201205","2","2,300","5","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201205","14","2,700","4","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","201207","11","6,650","3","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201212","6","3,200","2","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","84.87","201212","20","6,000","3","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","201212","31","5,000","9","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","201202","13","5,950","1","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.6","201203","20","4,500","5","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.6","201204","4","6,500","5","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","201212","18","6,450","5","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","201212","31","13,500","6","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","201212","31","13,500","4","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","201212","31","13,500","3","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201203","22","13,000","12","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201205","16","12,000","5","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201212","18","13,500","9","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201203","14","9,800","11","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201205","4","10,200","8","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201206","5","10,000","5","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201208","21","10,150","2","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201211","15","11,000","15","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","59-1","0059","0001","한성노블","32.1358","201212","26","6,600","7","2012","삼일로 46",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","83.625","201204","24","8,200","6","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","58.665","201207","27","7,500","2","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","58.665","201209","24","6,800","8","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","83.625","201211","15","12,000","12","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","58.665","201211","21","8,300","3","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","73.832","201202","10","7,900","2","2004","영랑로 25-9",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","73.832","201207","15","8,000","3","2004","영랑로 25-9",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","73.832","201207","18","9,000","2","2004","영랑로 25-9",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","28.463","201207","31","3,417","3","2004","영랑로 25-9",""
"전라남도 강진군 강진읍 평동리","176-2","0176","0002","대송베스트빌","73.832","201211","21","8,000","5","2004","영랑로 25-9",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","75.6702","201203","14","10,500","3","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201203","28","11,500","9","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201205","21","13,500","2","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","59.5979","201206","28","8,700","11","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201207","10","10,000","9","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201209","20","11,500","3","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201210","3","13,000","7","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","84.8116","201210","23","10,500","2","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","888-1","0888","0001","중흥","59.5979","201211","13","8,700","5","2001","백금포길 7",""
"전라남도 강진군 군동면 호계리","1056-2","1056","0002","청자베스트빌","41.3777","201211","19","8,500","3","2012","진흥로 11-1",""
