"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 녹산동","262-1","0262","0001","유나베네스1차","62.2475","202104","5","19,000","3","2017","화전산업대로 272-9",""
"부산광역시 강서구 녹산동","287","0287","0000","유나베네스2차","71.3035","202102","25","22,000","9","2017","화전산업대로 272-11",""
"부산광역시 강서구 녹산동","287","0287","0000","유나베네스2차","71.3035","202103","9","18,500","5","2017","화전산업대로 272-11",""
"부산광역시 강서구 대저1동","2388-17","2388","0017","외진가 센트럴타워","61.5977","202102","15","27,200","16","2019","대저로273번길 25",""
"부산광역시 강서구 대저1동","2388-17","2388","0017","외진가 센트럴타워","39.5072","202102","18","15,500","6","2019","대저로273번길 25",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","54.3472","202101","2","20,000","5","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","68.7078","202101","10","28,800","9","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","74.6266","202102","1","27,500","3","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","68.7078","202102","18","28,500","7","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","68.7078","202103","14","26,700","2","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","68.7078","202103","15","28,500","6","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","52.1206","202103","24","21,500","10","2019","대저중앙로 9",""
"부산광역시 강서구 대저1동","7375","7375","0000","우창더뷰","68.7078","202104","5","28,000","5","2019","대저중앙로 9",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","202101","2","51,000","13","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","202101","9","36,500","13","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","202101","20","47,000","6","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","202102","9","36,500","4","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","202102","10","35,000","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","202102","20","38,000","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","202102","20","35,600","6","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","202102","26","49,000","11","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","202102","27","38,500","5","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","202103","2","63,000","3","2008","명지오션시티2로 71",""
