"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20110101 ~ 20111231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201101","5","11,900","14","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201101","6","14,000","12","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201101","26","13,000","1","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201101","28","14,100","2","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","117.222","201103","3","15,500","2","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201103","17","14,900","13","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","117.222","201104","6","15,010","3","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201106","1","10,200","1","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201106","28","15,500","9","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201107","13","12,700","10","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201108","1","16,250","13","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201109","8","15,800","11","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201109","23","16,000","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201112","10","12,300","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201112","26","16,300","9","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201101","3","4,500","10","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","57.56","201105","11","5,800","6","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","201106","17","5,900","3","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201107","15","2,700","5","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201108","3","6,000","9","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","201108","16","5,900","7","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201108","25","3,000","3","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","57.56","201110","22","5,700","9","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","39.87","201112","9","3,000","2","1995","고성길 3",""
