"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","114.86","201202","24","15,500","3","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","84.89","201204","13","14,000","5","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","84.89","201205","6","13,800","7","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","84.89","201206","11","11,000","1","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","84.89","201206","25","13,300","11","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","165-1","0165","0001","그랑드빌","59.99","201209","19","8,000","6","2001","갑룡길 35",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201201","31","13,400","2","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201204","8","14,500","14","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","84.95","201205","4","18,000","10","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201206","8","14,300","9","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201206","19","14,500","12","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201207","20","13,900","8","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201207","25","14,000","5","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201208","25","13,300","5","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","76.46","201209","12","16,000","3","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","1100","1100","0000","베이힐","60.24","201210","6","14,000","7","2007","강화대로 234-12",""
"인천광역시 강화군 강화읍 갑곳리","83-1","0083","0001","설호","75.19","201201","31","8,000","4","1990","갑룡길49번길 2",""
"인천광역시 강화군 강화읍 갑곳리","83-1","0083","0001","설호","75.19","201203","6","8,400","2","1990","갑룡길49번길 2",""
"인천광역시 강화군 강화읍 갑곳리","83-1","0083","0001","설호","75.71","201203","8","8,400","1","1990","갑룡길49번길 2",""
"인천광역시 강화군 강화읍 갑곳리","83-1","0083","0001","설호","75.71","201203","16","8,500","3","1990","갑룡길49번길 2",""
"인천광역시 강화군 강화읍 갑곳리","83-1","0083","0001","설호","75.19","201211","14","7,700","3","1990","갑룡길49번길 2",""
"인천광역시 강화군 강화읍 갑곳리","349","0349","0000","용진2","59.04","201201","20","6,000","2","1990","강화대로 280",""
"인천광역시 강화군 강화읍 갑곳리","349","0349","0000","용진2","59.04","201204","3","6,300","1","1990","강화대로 280",""
"인천광역시 강화군 강화읍 갑곳리","349","0349","0000","용진2","70.56","201205","1","5,000","5","1990","강화대로 280",""
"인천광역시 강화군 강화읍 갑곳리","349","0349","0000","용진2","59.04","201205","21","6,350","3","1990","강화대로 280",""
"인천광역시 강화군 강화읍 갑곳리","349","0349","0000","용진2","59.04","201210","24","4,300","4","1990","강화대로 280",""
